platform,date,mentions
instagram,2016-09-03,2
instagram,2016-09-04,4
instagram,2016-09-05,1
instagram,2016-09-07,1
instagram,2016-09-08,1
instagram,2016-09-09,1
instagram,2016-09-10,2
instagram,2016-09-11,1
instagram,2016-09-12,1
instagram,2016-09-14,2
instagram,2016-09-16,1
instagram,2016-09-18,1
instagram,2016-09-19,1
instagram,2016-09-22,1
instagram,2016-09-25,1
instagram,2016-09-27,2
instagram,2016-09-30,3
instagram,2016-10-01,1
instagram,2016-10-05,1
instagram,2016-10-07,2
instagram,2016-10-08,7
instagram,2016-10-11,2
instagram,2016-10-19,2
instagram,2016-10-24,1
instagram,2016-10-25,1
instagram,2016-11-07,1
instagram,2016-11-11,1
instagram,2016-11-12,1
instagram,2016-11-13,1
instagram,2016-11-18,1
instagram,2016-11-19,2
instagram,2016-11-30,1
instagram,2016-12-03,1
instagram,2016-12-05,3
instagram,2016-12-16,1
instagram,2016-12-18,1
instagram,2016-12-28,1
instagram,2016-12-30,1
instagram,2017-01-24,1
instagram,2017-01-27,1
instagram,2017-02-25,1
instagram,2017-02-26,2
instagram,2017-03-08,1
instagram,2017-03-09,1
instagram,2017-03-11,1
instagram,2017-03-12,1
instagram,2017-03-15,1
instagram,2017-03-28,2
instagram,2017-03-29,3
instagram,2017-03-30,1
instagram,2017-03-31,1
instagram,2017-04-01,1
instagram,2017-04-03,3
instagram,2017-04-05,2
instagram,2017-04-06,1
instagram,2017-04-07,1
instagram,2017-04-09,1
instagram,2017-04-17,1
instagram,2017-04-20,1
instagram,2017-04-26,2
instagram,2017-04-30,1
instagram,2017-05-01,3
instagram,2017-05-21,1
instagram,2017-05-24,1
instagram,2017-05-27,1
instagram,2017-05-28,1
instagram,2017-05-30,1
instagram,2017-06-02,1
instagram,2017-06-06,1
instagram,2017-06-08,1
instagram,2017-06-13,1
instagram,2017-06-19,1
instagram,2017-06-22,1
instagram,2017-06-26,1
instagram,2017-06-27,1
instagram,2017-07-01,1
instagram,2017-07-06,1
instagram,2017-07-10,1
instagram,2017-07-14,1
instagram,2017-07-15,1
instagram,2017-07-16,1
instagram,2017-07-23,1
instagram,2017-07-27,1
instagram,2017-08-02,1
instagram,2017-08-10,1
instagram,2017-08-16,1
instagram,2017-08-22,1
instagram,2017-08-23,1
instagram,2017-08-28,2
instagram,2017-08-29,1
instagram,2017-08-30,1
instagram,2017-09-01,1
instagram,2017-09-02,1
instagram,2017-09-03,3
instagram,2017-09-04,2
instagram,2017-09-05,2
instagram,2017-09-06,1
instagram,2017-09-07,2
instagram,2017-09-08,1
instagram,2017-09-09,3
instagram,2017-09-10,1
instagram,2017-09-11,1
instagram,2017-09-13,1
instagram,2017-09-15,1
instagram,2017-09-18,1
instagram,2017-09-19,1
instagram,2017-09-22,1
instagram,2017-09-25,1
instagram,2017-09-27,1
instagram,2017-10-03,1
instagram,2017-10-04,1
instagram,2017-10-08,1
instagram,2017-10-09,1
instagram,2017-10-11,1
instagram,2017-10-12,1
instagram,2017-10-22,1
instagram,2017-10-23,1
instagram,2017-10-31,2
instagram,2017-11-02,1
instagram,2017-11-04,1
instagram,2017-11-05,3
instagram,2017-11-07,1
instagram,2017-11-11,1
instagram,2017-11-13,1
instagram,2017-11-15,1
instagram,2017-11-16,1
instagram,2017-11-17,1
instagram,2017-11-18,1
instagram,2017-11-21,1
instagram,2017-11-22,1
instagram,2017-11-25,1
instagram,2017-11-27,2
instagram,2017-12-02,1
instagram,2017-12-03,1
instagram,2017-12-10,1
instagram,2017-12-11,1
instagram,2017-12-12,1
instagram,2017-12-13,2
instagram,2017-12-15,1
instagram,2017-12-21,2
instagram,2017-12-26,1
instagram,2017-12-29,1
instagram,2017-12-30,3
instagram,2017-12-31,1
instagram,2018-01-04,1
instagram,2018-01-08,2
instagram,2018-01-14,4
instagram,2018-01-15,3
instagram,2018-01-18,1
instagram,2018-01-19,3
instagram,2018-01-22,1
instagram,2018-01-23,1
instagram,2018-01-24,1
