date,mentions,ma,sd,z,is_peak
2017-04-20,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-04-26,2,1.5,0.7319250547114002,0.6831300510639728,False
2017-04-30,1,1.5,0.7319250547114002,-0.6831300510639728,False
2017-05-01,3,1.5714285714285714,0.8206518066482901,1.740776559556978,False
2017-05-21,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-05-24,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-05-27,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-05-28,1,1.4285714285714286,0.7284313590846839,-0.5883484054145518,False
2017-05-30,1,1.2857142857142858,0.5890150893739519,-0.4850712500726658,False
2017-06-02,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-06-06,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-06-08,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-06-13,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-06-19,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-06-22,1,1.2142857142857142,0.5578749768504757,-0.3841106397986875,False
2017-06-26,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-06-27,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-07-01,1,1.0,0.0,,False
2017-07-06,1,1.0,0.0,,False
2017-07-10,1,1.0,0.0,,False
2017-07-14,1,1.0,0.0,,False
2017-07-15,1,1.0,0.0,,False
2017-07-16,1,1.0,0.0,,False
2017-07-23,1,1.0,0.0,,False
2017-07-27,1,1.0,0.0,,False
2017-07-29,3,1.1428571428571428,0.5150787536377132,3.6055512754639865,True
2017-08-02,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-08-10,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-08-16,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-08-22,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-08-23,1,1.1428571428571428,0.5150787536377132,-0.27735009811261424,False
2017-08-25,3,1.2857142857142858,0.6998542122237654,2.449489742783177,False
2017-08-28,2,1.3571428571428572,0.7178482586514925,0.8955334711889897,False
2017-08-29,1,1.3571428571428572,0.7178482586514925,-0.4975185951049944,False
2017-08-30,1,1.3571428571428572,0.7178482586514925,-0.4975185951049944,False
2017-09-01,1,1.3571428571428572,0.7178482586514925,-0.4975185951049944,False
2017-09-02,1,1.3571428571428572,0.7178482586514925,-0.4975185951049944,False
2017-09-03,3,1.5,0.8237544710479143,1.8209309360006511,False
2017-09-04,2,1.5714285714285714,0.8206518066482901,0.5222329678670934,False
2017-09-05,2,1.5,0.7319250547114001,0.683130051063973,False
