week,sov_honda,mentions_total,mentions_google_reviews,mentions_instagram,mentions_youtube,views_sum,reviews,avg_rating,pos_share,product_cover_share
2018-12-10,,4,0.0,4.0,0.0,,,,,
2018-12-17,,1,0.0,1.0,0.0,,,,,
2018-12-24,,5,0.0,5.0,0.0,,,,,
2018-12-31,1.0,6,0.0,6.0,0.0,,,,,0.5
2019-01-07,,4,0.0,4.0,0.0,,,,,
2019-01-14,0.6666666666666666,4,0.0,4.0,0.0,,,,,0.5
2019-01-21,1.0,5,0.0,5.0,0.0,,,,,0.5
2019-01-28,,1,0.0,1.0,0.0,,,,,
2019-02-04,1.0,3,0.0,3.0,0.0,,,,,0.0
2019-02-11,1.0,6,0.0,6.0,0.0,,,,,0.6666666666666666
2019-02-18,1.0,4,0.0,4.0,0.0,,,,,0.5
2019-02-25,1.0,5,0.0,5.0,0.0,,,,,1.0
2019-03-04,1.0,8,0.0,8.0,0.0,,,,,1.0
2019-03-11,0.5,5,0.0,5.0,0.0,,,,,0.0
2019-03-18,0.6666666666666666,7,0.0,7.0,0.0,,,,,0.5
2019-03-25,1.0,6,0.0,6.0,0.0,,,,,0.75
2019-04-01,1.0,4,0.0,4.0,0.0,,,,,0.5
2019-04-08,,8,2.0,6.0,0.0,,2.0,4.0,1.0,
2019-04-15,1.0,1,0.0,1.0,0.0,,,,,0.0
2019-04-22,,2,0.0,2.0,0.0,,,,,
2019-04-29,1.0,1,0.0,1.0,0.0,,,,,0.0
2019-05-06,1.0,5,0.0,5.0,0.0,,,,,0.5
2019-05-13,1.0,3,0.0,3.0,0.0,,,,,0.6666666666666666
2019-05-20,1.0,4,0.0,4.0,0.0,,,,,1.0
2019-05-27,,6,1.0,5.0,0.0,,1.0,5.0,1.0,
2019-06-03,1.0,4,0.0,4.0,0.0,,,,,0.0
2019-06-10,1.0,8,1.0,7.0,0.0,,1.0,5.0,1.0,0.5
2019-06-17,1.0,4,0.0,4.0,0.0,,,,,0.0
2019-06-24,1.0,8,3.0,5.0,0.0,,3.0,5.0,1.0,0.0
2019-07-01,0.0,6,0.0,6.0,0.0,,,,,
2019-07-08,1.0,8,0.0,8.0,0.0,,,,,1.0
2019-07-15,1.0,5,0.0,5.0,0.0,,,,,1.0
2019-07-22,,4,0.0,4.0,0.0,,,,,
2019-07-29,1.0,8,0.0,8.0,0.0,,,,,1.0
2019-08-05,1.0,12,0.0,12.0,0.0,,,,,0.5
2019-08-12,1.0,4,0.0,4.0,0.0,,,,,0.0
2019-08-19,,4,0.0,4.0,0.0,,,,,
2019-08-26,1.0,15,0.0,15.0,0.0,,,,,0.0
2019-09-02,1.0,13,0.0,13.0,0.0,,,,,0.3333333333333333
2019-09-09,1.0,14,0.0,14.0,0.0,,,,,1.0
2019-09-16,1.0,4,0.0,4.0,0.0,,,,,1.0
2019-09-23,1.0,9,0.0,9.0,0.0,,,,,1.0
2019-09-30,1.0,7,0.0,7.0,0.0,,,,,1.0
2019-10-07,1.0,7,0.0,7.0,0.0,,,,,1.0
2019-10-14,1.0,11,0.0,11.0,0.0,,,,,0.5
2019-10-21,1.0,10,0.0,10.0,0.0,,,,,1.0
2019-10-28,1.0,9,0.0,9.0,0.0,,,,,1.0
2019-11-04,1.0,9,0.0,9.0,0.0,,,,,0.0
2019-11-11,1.0,9,2.0,7.0,0.0,,2.0,4.0,1.0,0.5
2019-11-18,0.6666666666666666,11,0.0,11.0,0.0,,,,,0.5
2019-11-25,1.0,4,0.0,4.0,0.0,,,,,1.0
