date,Yamaha,BMW Motorrad,KTM,Triumph,Ducati
2025-05-04,83.42857142857143,5.714285714285714,31.285714285714285,28.428571428571427,24.0
2025-05-05,82.42857142857143,5.857142857142857,30.142857142857142,28.0,23.285714285714285
2025-05-06,80.71428571428571,5.714285714285714,30.285714285714285,27.714285714285715,23.285714285714285
2025-05-07,80.0,5.0,30.285714285714285,28.285714285714285,23.428571428571427
2025-05-08,78.28571428571429,4.428571428571429,30.0,28.285714285714285,22.857142857142858
2025-05-09,76.57142857142857,4.285714285714286,29.714285714285715,27.571428571428573,22.714285714285715
2025-05-10,78.28571428571429,4.571428571428571,30.0,26.571428571428573,23.0
2025-05-11,79.42857142857143,4.142857142857143,30.0,27.0,23.571428571428573
2025-05-12,80.14285714285714,4.0,30.285714285714285,27.714285714285715,24.285714285714285
2025-05-13,80.85714285714286,3.7142857142857144,29.428571428571427,27.857142857142858,24.428571428571427
2025-05-14,81.42857142857143,3.7142857142857144,29.428571428571427,27.714285714285715,24.285714285714285
2025-05-15,80.85714285714286,3.7142857142857144,29.142857142857142,27.142857142857142,23.857142857142858
2025-05-16,81.85714285714286,3.857142857142857,29.142857142857142,27.285714285714285,24.0
2025-05-17,79.71428571428571,3.4285714285714284,28.571428571428573,27.571428571428573,23.571428571428573
2025-05-18,79.57142857142857,3.7142857142857144,28.285714285714285,27.285714285714285,22.857142857142858
2025-05-19,79.85714285714286,3.7142857142857144,29.142857142857142,27.714285714285715,22.571428571428573
2025-05-20,81.0,3.7142857142857144,29.571428571428573,27.857142857142858,22.285714285714285
2025-05-21,81.28571428571429,3.7142857142857144,29.428571428571427,27.571428571428573,22.0
2025-05-22,80.85714285714286,3.857142857142857,29.857142857142858,27.857142857142858,21.714285714285715
2025-05-23,79.71428571428571,4.0,29.714285714285715,27.714285714285715,21.285714285714285
2025-05-24,79.28571428571429,4.714285714285714,29.714285714285715,27.428571428571427,20.571428571428573
2025-05-25,79.57142857142857,4.428571428571429,29.857142857142858,27.714285714285715,20.714285714285715
