node,label,platform,node_type,city,in_degree,out_degree,betweenness,eigenvector,community
yt:J sports,J sports,youtube,yt_channel,,72.0,0.0,0.0,0.0,-1
yt:Honda Tansoy,Honda Tansoy,youtube,yt_channel,,61.0,0.0,0.0,0.0,-1
yt:THE MOTORCYCLE YOGI,THE MOTORCYCLE YOGI,youtube,yt_channel,,59.0,0.0,0.0,0.0,-1
yt:LEANDRO DANTAS,LEANDRO DANTAS,youtube,yt_channel,,45.0,0.0,0.0,0.0,-1
yt:Urbaanews : Le spécialiste 2 roues /moto /scooter,Urbaanews : Le spécialiste 2 roues /moto /scooter,youtube,yt_channel,,44.0,0.0,0.0,0.0,-1
yt:R C Official11,R C Official11,youtube,yt_channel,,43.0,0.0,0.0,0.0,-1
yt:Lord Puma,Lord Puma,youtube,yt_channel,,43.0,0.0,0.0,0.0,-1
yt:330mm,330mm,youtube,yt_channel,,41.0,0.0,0.0,0.0,-1
@hondamotoses,@hondamotoses,instagram,ig_user,,38.0,0.0,0.0,0.0,-1
yt:Max's Moto Shop,Max's Moto Shop,youtube,yt_channel,,38.0,0.0,0.0,0.0,-1
yt:Rusty Gold MotorShop Amsterdam,Rusty Gold MotorShop Amsterdam,youtube,yt_channel,,36.0,0.0,0.0,0.0,-1
@outback_motortek,@outback_motortek,instagram,ig_user,,34.0,0.0,0.0,0.0,-1
@hlxoficial,@hlxoficial,instagram,ig_user,,34.0,0.0,0.0,0.0,-1
@worldafricatwinriders,@worldafricatwinriders,instagram,ig_user,,33.0,0.0,0.0,0.0,-1
@cb500x_sc,@cb500x_sc,instagram,ig_user,,33.0,0.0,0.0,0.0,-1
@barkbustershandguards,@barkbustershandguards,instagram,ig_user,,28.0,0.0,0.0,0.0,-1
@transalpine_run,@transalpine_run,instagram,ig_user,,28.0,0.0,0.0,0.0,-1
yt:Moto Blindão,Moto Blindão,youtube,yt_channel,,28.0,0.0,0.0,0.0,-1
@hondamotoitalia,@hondamotoitalia,instagram,ig_user,,27.0,0.0,0.0,0.0,-1
@goretextransalpinerun,@goretextransalpinerun,instagram,ig_user,,27.0,0.0,0.0,0.0,-1
@sercomoto,@sercomoto,instagram,ig_user,,26.0,0.0,0.0,0.0,-1
@crf1100africatwin,@crf1100africatwin,instagram,ig_user,,25.0,0.0,0.0,0.0,-1
yt:Moto Full,Moto Full,youtube,yt_channel,,24.0,0.0,0.0,0.0,-1
@adventure_riders_99,@adventure_riders_99,instagram,ig_user,,23.0,0.0,0.0,0.0,-1
@hondamotorrad_de,@hondamotorrad_de,instagram,ig_user,,23.0,0.0,0.0,0.0,-1
@hondajakartacenter,@hondajakartacenter,instagram,ig_user,,22.0,0.0,0.0,0.0,-1
@volkanay__,@volkanay__,instagram,ig_user,,22.0,0.0,0.0,0.0,-1
@cardosystems,@cardosystems,instagram,ig_user,,22.0,0.0,0.0,0.0,-1
yt:altorque,altorque,youtube,yt_channel,,22.0,0.0,0.0,0.0,-1
@max.acessorios,@max.acessorios,instagram,ig_user,,21.0,0.0,0.0,0.0,-1
@jepartsacessorios,@jepartsacessorios,instagram,ig_user,,21.0,0.0,0.0,0.0,-1
@richardmotocapas,@richardmotocapas,instagram,ig_user,,21.0,0.0,0.0,0.0,-1
@acrilsul,@acrilsul,instagram,ig_user,,21.0,0.0,0.0,0.0,-1
yt:AUTO TRAVEL TECH,AUTO TRAVEL TECH,youtube,yt_channel,,21.0,0.0,0.0,0.0,-1
yt:il Pendolino di Mosca,il Pendolino di Mosca,youtube,yt_channel,,21.0,0.0,0.0,0.0,-1
@hengspeedshopbkt,@hengspeedshopbkt,instagram,ig_user,,20.0,0.0,0.0,0.0,-1
@sbvtools,@sbvtools,instagram,ig_user,,20.0,0.0,0.0,0.0,-1
@moto_travellers,@moto_travellers,instagram,ig_user,,20.0,0.0,0.0,0.0,-1
yt:ORIGINAL SLOWBOYS,ORIGINAL SLOWBOYS,youtube,yt_channel,,20.0,0.0,0.0,0.0,-1
gr:NANTES MOTO | Honda,NANTES MOTO | Honda,google_reviews,gr_place,Paris,20.0,0.0,0.0,0.0,-1
@dopemirrorscom,@dopemirrorscom,instagram,ig_user,,19.0,0.0,0.0,0.0,-1
@casatekaurubici,@casatekaurubici,instagram,ig_user,,19.0,0.0,0.0,0.0,-1
@nelazu10,@nelazu10,instagram,ig_user,,19.0,0.0,0.0,0.0,-1
yt:INJEC (INJEC),INJEC (INJEC),youtube,yt_channel,,19.0,0.0,0.0,0.0,-1
@hengspeedshop,@hengspeedshop,instagram,ig_user,,18.0,0.0,0.0,0.0,-1
@africa_twin_oficial,@africa_twin_oficial,instagram,ig_user,,18.0,0.0,0.0,0.0,-1
@altrider_official,@altrider_official,instagram,ig_user,,18.0,0.0,0.0,0.0,-1
@motozhq,@motozhq,instagram,ig_user,,18.0,0.0,0.0,0.0,-1
@revit_adventure,@revit_adventure,instagram,ig_user,,18.0,0.0,0.0,0.0,-1
yt:Colwyn Bay Motorcycles,Colwyn Bay Motorcycles,youtube,yt_channel,,18.0,0.0,0.0,0.0,-1
yt:Honda Motorcycles Europe,Honda Motorcycles Europe,youtube,yt_channel,,18.0,0.0,0.0,0.0,-1
@garda_equipment,@garda_equipment,instagram,ig_user,,17.0,0.0,0.0,0.0,-1
@motorradboxdachau,@motorradboxdachau,instagram,ig_user,,17.0,0.0,0.0,0.0,-1
@touratech,@touratech,instagram,ig_user,,17.0,0.0,0.0,0.0,-1
@hondamotos.pt,@hondamotos.pt,instagram,ig_user,,17.0,0.0,0.0,0.0,-1
@allroadmoto.be,@allroadmoto.be,instagram,ig_user,,17.0,0.0,0.0,0.0,-1
@unidos_grau,@unidos_grau,instagram,ig_user,,17.0,0.0,0.0,0.0,-1
@honda.africa.twin.fans,@honda.africa.twin.fans,instagram,ig_user,,16.0,0.0,0.0,0.0,-1
@givi_official,@givi_official,instagram,ig_user,,16.0,0.0,0.0,0.0,-1
@adventure.spec,@adventure.spec,instagram,ig_user,,16.0,0.0,0.0,0.0,-1
@transalpino.pt,@transalpino.pt,instagram,ig_user,,16.0,0.0,0.0,0.0,-1
@rianugraha14,@rianugraha14,instagram,ig_user,,16.0,0.0,0.0,0.0,-1
yt:Diebrovic,Diebrovic,youtube,yt_channel,,16.0,0.0,0.0,0.0,-1
@hondamotosbr,@hondamotosbr,instagram,ig_user,,15.0,0.0,0.0,0.0,-1
@africatwinworld,@africatwinworld,instagram,ig_user,,15.0,0.0,0.0,0.0,-1
@axel_onhisbike,@axel_onhisbike,instagram,ig_user,,15.0,0.0,0.0,0.0,-1
@streetmotopiece,@streetmotopiece,instagram,ig_user,,15.0,0.0,0.0,0.0,-1
yt:innomoto,innomoto,youtube,yt_channel,,15.0,0.0,0.0,0.0,-1
yt:achraf D rider,achraf D rider,youtube,yt_channel,,15.0,0.0,0.0,0.0,-1
yt:Branko Rides,Branko Rides,youtube,yt_channel,,15.0,0.0,0.0,0.0,-1
gr:MOTO BASTILLE | Honda,MOTO BASTILLE | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:HONDA JAPAUTO MOTO GRANDE ARMEE,HONDA JAPAUTO MOTO GRANDE ARMEE,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:Alesia Moto - Honda,Alesia Moto - Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:4 EN 1 | Honda,4 EN 1 | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:BOULMICH'MOTO | Honda,BOULMICH'MOTO | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:Honda National Motos,Honda National Motos,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:FOLIE MERICOURT,FOLIE MERICOURT,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:STAR BIKE | Honda,STAR BIKE | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:7ème AVENUE | Honda,7ème AVENUE | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:CASQUE D'OR | Honda,CASQUE D'OR | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:CHORON MOTOS | Honda,CHORON MOTOS | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:AUX ARTS DU 2 ROUES | Honda,AUX ARTS DU 2 ROUES | Honda,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:HONDA JAPAUTO AUTOMOBILES MURAT,HONDA JAPAUTO AUTOMOBILES MURAT,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:DAFY MOTO,DAFY MOTO,google_reviews,gr_place,Paris,15.0,0.0,0.0,0.0,-1
gr:Honda Moto Lyon | Vulcain,Honda Moto Lyon | Vulcain,google_reviews,gr_place,Lyon,15.0,0.0,0.0,0.0,-1
gr:VIP MOTO | Honda,VIP MOTO | Honda,google_reviews,gr_place,Marseille,15.0,0.0,0.0,0.0,-1
gr:Sagaz Honda ATLANTA,Sagaz Honda ATLANTA,google_reviews,gr_place,Toulouse,15.0,0.0,0.0,0.0,-1
gr:SAGAZ HONDA 7 DENIERS,SAGAZ HONDA 7 DENIERS,google_reviews,gr_place,Toulouse,15.0,0.0,0.0,0.0,-1
gr:NEW BIKE,NEW BIKE,google_reviews,gr_place,Bordeaux,15.0,0.0,0.0,0.0,-1
gr:Motoland Honda D-Store Dainese,Motoland Honda D-Store Dainese,google_reviews,gr_place,Lille,15.0,0.0,0.0,0.0,-1
gr:MT Moto,MT Moto,google_reviews,gr_place,Lille,15.0,0.0,0.0,0.0,-1
gr:LECONTE MOTOS,LECONTE MOTOS,google_reviews,gr_place,Rennes,15.0,0.0,0.0,0.0,-1
gr:WERTHER | Honda,WERTHER | Honda,google_reviews,gr_place,Nice,15.0,0.0,0.0,0.0,-1
gr:SCHUMPP | Honda,SCHUMPP | Honda,google_reviews,gr_place,Strasbourg,15.0,0.0,0.0,0.0,-1
gr:Le Village Motos,Le Village Motos,google_reviews,gr_place,Strasbourg,15.0,0.0,0.0,0.0,-1
gr:Honda Strasbourg,Honda Strasbourg,google_reviews,gr_place,Strasbourg,15.0,0.0,0.0,0.0,-1
@zirbelbike,@zirbelbike,instagram,ig_user,,14.0,0.0,0.0,0.0,-1
yt:Bike Insight,Bike Insight,youtube,yt_channel,,14.0,0.0,0.0,0.0,-1
@hondaisme,@hondaisme,instagram,ig_user,,13.0,0.0,0.0,0.0,-1
@alpinestars,@alpinestars,instagram,ig_user,,13.0,0.0,0.0,0.0,-1
@swmotech,@swmotech,instagram,ig_user,,13.0,0.0,0.0,0.0,-1
@transalpes.ch,@transalpes.ch,instagram,ig_user,,13.0,0.0,0.0,0.0,-1
yt:Kiran,Kiran,youtube,yt_channel,,13.0,0.0,0.0,0.0,-1
@honda_powersports_us,@honda_powersports_us,instagram,ig_user,,12.0,0.0,0.0,0.0,-1
@hengspeedshoppku,@hengspeedshoppku,instagram,ig_user,,12.0,0.0,0.0,0.0,-1
@hondamotofr,@hondamotofr,instagram,ig_user,,12.0,0.0,0.0,0.0,-1
@hondaukmotorcycles,@hondaukmotorcycles,instagram,ig_user,,12.0,0.0,0.0,0.0,-1
@marcio.dsouza,@marcio.dsouza,instagram,ig_user,,12.0,0.0,0.0,0.0,-1
yt:Pavel K.,Pavel K.,youtube,yt_channel,,12.0,0.0,0.0,0.0,-1
@africa_twin_singapore,@africa_twin_singapore,instagram,ig_user,,11.0,0.0,0.0,0.0,-1
@maxon_bikedrive,@maxon_bikedrive,instagram,ig_user,,11.0,0.0,0.0,0.0,-1
@honda,@honda,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@hondapartsjabar,@hondapartsjabar,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@withregram,@withregram,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@hondaracingcorporation,@hondaracingcorporation,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@bikes_peak,@bikes_peak,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@king_vstromxt,@king_vstromxt,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@motorradtechniklang,@motorradtechniklang,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@box87.at,@box87.at,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@87xpictures,@87xpictures,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@martina_box87,@martina_box87,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@ersatzteilpartner,@ersatzteilpartner,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@shimanomtb,@shimanomtb,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@honda_cb500_cr,@honda_cb500_cr,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
@hogsheadmc,@hogsheadmc,instagram,ig_user,,10.0,0.0,0.0,0.0,-1
yt:christophe Brousseau,christophe Brousseau,youtube,yt_channel,,10.0,0.0,0.0,0.0,-1
yt:Starting Machine,Starting Machine,youtube,yt_channel,,10.0,0.0,0.0,0.0,-1
yt:Bli Biker,Bli Biker,youtube,yt_channel,,10.0,0.0,0.0,0.0,-1
gr:Honda - Sipa Automobiles - Bordeaux Mérignac,Honda - Sipa Automobiles - Bordeaux Mérignac,google_reviews,gr_place,Bordeaux,10.0,0.0,0.0,0.0,-1
gr:Garage Moto Bordeaux - High Tech Moto,Garage Moto Bordeaux - High Tech Moto,google_reviews,gr_place,Bordeaux,10.0,0.0,0.0,0.0,-1
gr:WINNERS Motoland | Honda,WINNERS Motoland | Honda,google_reviews,gr_place,Lille,10.0,0.0,0.0,0.0,-1
gr:Rennes Motos,Rennes Motos,google_reviews,gr_place,Rennes,10.0,0.0,0.0,0.0,-1
gr:Honda,Honda,google_reviews,gr_place,Rennes,10.0,0.0,0.0,0.0,-1
gr:Honda Schumpp Automobiles Strasbourg,Honda Schumpp Automobiles Strasbourg,google_reviews,gr_place,Strasbourg,10.0,0.0,0.0,0.0,-1
gr:Kawasaki Strasbourg Schumpp,Kawasaki Strasbourg Schumpp,google_reviews,gr_place,Strasbourg,10.0,0.0,0.0,0.0,-1
@insta360,@insta360,instagram,ig_user,,9.0,0.0,0.0,0.0,-1
@moskomoto,@moskomoto,instagram,ig_user,,9.0,0.0,0.0,0.0,-1
@africa_twin_spainoficial,@africa_twin_spainoficial,instagram,ig_user,,9.0,0.0,0.0,0.0,-1
@hotmail.com,@hotmail.com,instagram,ig_user,,9.0,0.0,0.0,0.0,-1
@rnr14photography,@rnr14photography,instagram,ig_user,,9.0,0.0,0.0,0.0,-1
yt:Marcyo Motorcycles,Marcyo Motorcycles,youtube,yt_channel,,9.0,0.0,0.0,0.0,-1
yt:CZ TURBO,CZ TURBO,youtube,yt_channel,,9.0,0.0,0.0,0.0,-1
yt:Sembenini Riva del Garda,Sembenini Riva del Garda,youtube,yt_channel,,9.0,0.0,0.0,0.0,-1
yt:Romain dbrg,Romain dbrg,youtube,yt_channel,,9.0,0.0,0.0,0.0,-1
@hepcobecker,@hepcobecker,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@usernameistakenbrah,@usernameistakenbrah,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@africatwinpt,@africatwinpt,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@revit_official,@revit_official,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@francescmonterophoto,@francescmonterophoto,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@biketransalp,@biketransalp,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@cb500x_indonesia,@cb500x_indonesia,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
@cb.500x,@cb.500x,instagram,ig_user,,8.0,0.0,0.0,0.0,-1
yt:Sayapo Moto & Cia,Sayapo Moto & Cia,youtube,yt_channel,,8.0,0.0,0.0,0.0,-1
@catalogvelg.ottoban,@catalogvelg.ottoban,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@ottobanindonesia,@ottobanindonesia,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@astrowheelsoriginal,@astrowheelsoriginal,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@brio.id,@brio.id,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@acclesia_motoshop,@acclesia_motoshop,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@gmail.com,@gmail.com,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@agvhelmets,@agvhelmets,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@oxfordproducts,@oxfordproducts,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@daineseofficial,@daineseofficial,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@ls2europe,@ls2europe,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@nexxhelmets,@nexxhelmets,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@transalp_hondaxl,@transalp_hondaxl,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@planb_event_company,@planb_event_company,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@lesmophoto,@lesmophoto,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@transalpinodmc,@transalpinodmc,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
@thunderbike,@thunderbike,instagram,ig_user,,7.0,0.0,0.0,0.0,-1
yt:Le bon motard,Le bon motard,youtube,yt_channel,,7.0,0.0,0.0,0.0,-1
@alwayshonda,@alwayshonda,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@hondaahassjabar,@hondaahassjabar,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@dayaautoapp,@dayaautoapp,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@hengspeedshoppkc,@hengspeedshoppkc,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@ilhamsse,@ilhamsse,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@sse_project,@sse_project,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@kr18m,@kr18m,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@gmoto,@gmoto,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@honda_evecan,@honda_evecan,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@mitasmoto,@mitasmoto,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@wrs_italy,@wrs_italy,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@hondaadventureroads,@hondaadventureroads,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@motoproworks,@motoproworks,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@welovehonda_id,@welovehonda_id,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@Lonerider,@Lonerider,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@hondabigbike.indonesia,@hondabigbike.indonesia,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@airoh_official,@airoh_official,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@filcoffee_motorrad,@filcoffee_motorrad,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@vicentehernando71,@vicentehernando71,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@arnaupuigphoto,@arnaupuigphoto,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@kmirabet38,@kmirabet38,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@flashedbyvcyclenut,@flashedbyvcyclenut,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@giviexplorer,@giviexplorer,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@doubletakemirrors,@doubletakemirrors,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@s,@s,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@goffi_workshop,@goffi_workshop,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@formaboots,@formaboots,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@transalpmania,@transalpmania,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@domeniul_schiabil_transalpina,@domeniul_schiabil_transalpina,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@osputifer0,@osputifer0,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@OSPUTIFER0,@OSPUTIFER0,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@transalpinoliverpool,@transalpinoliverpool,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@amvassurance,@amvassurance,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@cb500x_photos,@cb500x_photos,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@honda.cb500x.adventure,@honda.cb500x.adventure,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
@hondamotorsportmadrid,@hondamotorsportmadrid,instagram,ig_user,,6.0,0.0,0.0,0.0,-1
yt:Moto91 Honda Athis-Mons,Moto91 Honda Athis-Mons,youtube,yt_channel,,6.0,0.0,0.0,0.0,-1
yt:aesthetic saurabh,aesthetic saurabh,youtube,yt_channel,,6.0,0.0,0.0,0.0,-1
yt:Down 2 Ride,Down 2 Ride,youtube,yt_channel,,6.0,0.0,0.0,0.0,-1
@hondamotosuy,@hondamotosuy,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@hondapacificlippo,@hondapacificlippo,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@dblindonesiaofficial,@dblindonesiaofficial,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@zona.hondabrio,@zona.hondabrio,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@bijyo.jp,@bijyo.jp,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@bikeo_officIal,@bikeo_officIal,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@girlsbiker_japan,@girlsbiker_japan,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@bike__publishing,@bike__publishing,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@garagevideo_race_idn,@garagevideo_race_idn,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@pirellimoto,@pirellimoto,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@saleshonda.tren,@saleshonda.tren,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@banan_travels,@banan_travels,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@africatwin_spirit,@africatwin_spirit,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@richamoto,@richamoto,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@garmin,@garmin,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@transalpisti_folli,@transalpisti_folli,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@graudosfoguete,@graudosfoguete,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@transalpworldteam,@transalpworldteam,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@shimanoswitzerland,@shimanoswitzerland,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@srammtb,@srammtb,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@rockshox,@rockshox,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@graubuendenbike,@graubuendenbike,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@philippreiter007,@philippreiter007,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@sportograf,@sportograf,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@orthomol_sport,@orthomol_sport,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@transalpinoofficial,@transalpinoofficial,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@myswitzerland,@myswitzerland,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@thedorsetrider,@thedorsetrider,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@motorrijders.nl,@motorrijders.nl,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@motor.je55.journey,@motor.je55.journey,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@stephensuttonrideout,@stephensuttonrideout,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@squires_cafe,@squires_cafe,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@bikerpicsuk,@bikerpicsuk,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@cb500xchile,@cb500xchile,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@hondabigbikeyogyakarta,@hondabigbikeyogyakarta,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
@bigwingburiram,@bigwingburiram,instagram,ig_user,,5.0,0.0,0.0,0.0,-1
yt:HondaMotoFrance,HondaMotoFrance,youtube,yt_channel,,5.0,0.0,0.0,0.0,-1
yt:RED 9,RED 9,youtube,yt_channel,,5.0,0.0,0.0,0.0,-1
yt:gabriele zamproni,gabriele zamproni,youtube,yt_channel,,5.0,0.0,0.0,0.0,-1
yt:GHOUSHI,GHOUSHI,youtube,yt_channel,,5.0,0.0,0.0,0.0,-1
gr:Honda Speed Motorcycles,Honda Speed Motorcycles,google_reviews,gr_place,Paris,5.0,0.0,0.0,0.0,-1
